ID	file	line	callee
1	crypto/asn1/f_string.c 	100	OPENSSL_realloc(CRYPTO_realloc)
2	apps/ca.c 	1605	ASN1_TIME_diff
3	ssl/ssl_lib.c	2463	sk_SSL_CIPHER_new_null
4	crypto/ec/ec_ameth.c	300	EC_GROUP_dup
5	crypto/dh/dh_key.c	178	BN_CTX_get
6	crypto/ec/ec2_smpl.c	247	BN_CTX_get
7	crypto/ec/ecdh_ossl.c	53	BN_CTX_get
8	crypto/x509/x_name.c	333	X509_NAME_ENTRY_new
9	crypto/ts/ts_lib.c	62	i2a_ASN1_OBJECT
10	crypto/rsa/rsa_ameth.c	253	i2a_ASN1_OBJECT
11	apps/opt.c	471	OBJ_txt2obj
12	apps/ts.c	337	OBJ_txt2obj
13	crypto/objects/obj_dat.c	703	OBJ_txt2obj
14	crypto/x509/x509_att.c	224	OBJ_txt2obj
15	crypto/x509/x509name.c	247	OBJ_txt2obj
16	crypto/x509/x509_att.c	241	OBJ_dup
17	crypto/x509/x509_v3.c	190	OBJ_dup
18	crypto/asn1/tasn_prn.c	397	i2s_ASN1_INTEGER
19	crypto/x509v3/v3_cpols.c	463	i2s_ASN1_INTEGER
20	apps/crl.c	193	X509_STORE_CTX_new
21	apps/s_server.c	548	X509_STORE_CTX_new
22	crypto/cms/cms_smime.c	232	X509_STORE_CTX_new
23	crypto/ocsp/ocsp_vfy.c	44	X509_STORE_CTX_new
24	crypto/pkcs7/pk7_smime.c	260	X509_STORE_CTX_new
25	crypto/ts/ts_rsp_verify.c	173	X509_STORE_CTX_new
26	crypto/ct/ct_prn.c	46	ASN1_GENERALIZEDTIME_set_string
27	crypto/ocsp/ocsp_ext.c	384	ASN1_GENERALIZEDTIME_set_string
28	crypto/o_time.c	43	gmtime_r
29	crypto/bn/bn_gf2m.c	622	bn_wexpand
30	crypto/bn/bn_gf2m.c	629	bn_wexpand
31	crypto/bn/bn_gf2m.c	637	bn_wexpand
32	ssl/s3_enc.c	30/31	EVP_MD_CTX_new
33	ssl/s3_enc.c	241	EVP_CipherInit_ex
34	crypto/cms/cms_kari.c	205	EVP_CipherInit_ex
35	crypto/cms/cms_pwri.c	328	EVP_CipherInit_ex
36	crypto/pkcs7/pk7_doit.c	288	EVP_CipherInit_ex
37	crypto/pkcs7/pk7_doit.c	293	EVP_CipherInit_ex
38	crypto/rand/drbg_ctr.c	205	EVP_CipherInit_ex
39	ssl/ssl_cert.c	64	CRYPTO_THREAD_lock_new
40	ssl/ssl_lib.c	687	CRYPTO_THREAD_lock_new
41	crypto/bio/bio_lib.c 	87	CRYPTO_THREAD_lock_new
42	crypto/bn/bn_blind.c 	41	CRYPTO_THREAD_lock_new
43	crypto/asn1/tasn_dec.c	747	BUF_MEM_grow_clean
44	crypto/ocsp/ocsp_ext.c	258	ASN1_object_size
45	crypto/objects/obj_dat.c	375	ASN1_object_size
46	ssl/statem/statem_clnt.c	3033	ssl_generate_pkey
47	ssl/statem/statem_clnt.c	3091	ssl_generate_pkey
48	ssl/d1_lib.c	542	PACKET_buf_init
49	ssl/ssl_rsa.c	711	PACKET_buf_init
50	ssl/ssl_rsa.c	816	PACKET_buf_init
51	crypto/pkcs12/p12_kiss.c	224	ASN1_STRING_to_UTF8
